date,theme_attraction,theme_coastal_resort,theme_destination,source_keyword_count,theme_attraction_lag_1,theme_attraction_lag_2,theme_attraction_lag_3,theme_attraction_lag_7,theme_coastal_resort_lag_1,theme_coastal_resort_lag_2,theme_coastal_resort_lag_3,theme_coastal_resort_lag_7,theme_destination_lag_1,theme_destination_lag_2,theme_destination_lag_3,theme_destination_lag_7
2025-09-12,-0.01453651555976802,0.7757030972059606,-0.3967474228669332,10,0.15080422590098358,-0.1798804827362249,-0.8159825776942041,-0.5152234544376907,1.3058538272083016,2.8788368670863074,3.896604744168165,0.27517396959630064,0.1291676189860769,0.027810096534108465,0.08117099255547333,-0.010725000616206515
2025-09-13,0.1456771178875117,0.7073455532228508,-0.0483427417728024,10,-0.01453651555976802,0.15080422590098358,-0.1798804827362249,0.050100114755961184,0.7757030972059606,1.3058538272083016,2.8788368670863074,0.7111431945552458,-0.3967474228669332,0.1291676189860769,0.027810096534108465,-0.14183817437370222
2025-09-14,0.10060026492436941,0.7058264966898927,-0.1179278205658906,10,0.1456771178875117,-0.01453651555976802,0.15080422590098358,0.04811971521676319,0.7073455532228508,0.7757030972059606,1.3058538272083016,1.6567558863215988,-0.0483427417728024,-0.3967474228669332,0.1291676189860769,-0.07197139695457344
2025-09-15,-0.07582077698979009,0.7164598924205987,0.04196582127261657,10,0.10060026492436941,0.1456771178875117,-0.01453651555976802,-0.5032018445511481,0.7058264966898927,0.7073455532228508,0.7757030972059606,5.0753926137435705,-0.1179278205658906,-0.0483427417728024,-0.3967474228669332,0.11496019598572031
2025-09-16,-0.039273614436879926,0.3025169871895446,0.14116215965926054,10,-0.07582077698979009,0.10060026492436941,0.1456771178875117,-0.8159825776942041,0.7164598924205987,0.7058264966898927,0.7073455532228508,3.896604744168165,0.04196582127261657,-0.1179278205658906,-0.0483427417728024,0.08117099255547333
2025-09-17,0.23181512401646526,0.012377189394567188,0.22845990037556083,10,-0.039273614436879926,-0.07582077698979009,0.10060026492436941,-0.1798804827362249,0.3025169871895446,0.7164598924205987,0.7058264966898927,2.8788368670863074,0.14116215965926054,0.04196582127261657,-0.1179278205658906,0.027810096534108465
2025-09-18,0.03058623574164054,-0.1425665769671485,0.13285703285924438,10,0.23181512401646526,-0.039273614436879926,-0.07582077698979009,0.15080422590098358,0.012377189394567188,0.3025169871895446,0.7164598924205987,1.3058538272083016,0.22845990037556083,0.14116215965926054,0.04196582127261657,0.1291676189860769
2025-09-19,-0.48016561987142736,-0.21927893188152733,0.0922471580175149,10,0.03058623574164054,0.23181512401646526,-0.039273614436879926,-0.01453651555976802,-0.1425665769671485,0.012377189394567188,0.3025169871895446,0.7757030972059606,0.13285703285924438,0.22845990037556083,0.14116215965926054,-0.3967474228669332
2025-09-20,-0.8860063805350189,-0.4418207139598739,-0.16607363253594914,10,-0.48016561987142736,0.03058623574164054,0.23181512401646526,0.1456771178875117,-0.21927893188152733,-0.1425665769671485,0.012377189394567188,0.7073455532228508,0.0922471580175149,0.13285703285924438,0.22845990037556083,-0.0483427417728024
2025-09-21,0.1558736164557304,-0.5018234470117148,-0.23514343445975044,10,-0.8860063805350189,-0.48016561987142736,0.03058623574164054,0.10060026492436941,-0.4418207139598739,-0.21927893188152733,-0.1425665769671485,0.7058264966898927,-0.16607363253594914,0.0922471580175149,0.13285703285924438,-0.1179278205658906
2025-09-22,0.06929456958072687,-0.0924377113795346,0.24425294149306281,10,0.1558736164557304,-0.8860063805350189,-0.48016561987142736,-0.07582077698979009,-0.5018234470117148,-0.4418207139598739,-0.21927893188152733,0.7164598924205987,-0.23514343445975044,-0.16607363253594914,0.0922471580175149,0.04196582127261657
2025-09-23,-0.06016888904658167,-0.1342117660358795,0.27325894639425446,10,0.06929456958072687,0.1558736164557304,-0.8860063805350189,-0.039273614436879926,-0.0924377113795346,-0.5018234470117148,-0.4418207139598739,0.3025169871895446,0.24425294149306281,-0.23514343445975044,-0.16607363253594914,0.14116215965926054
2025-09-24,-0.40894608832335844,-0.41447769636662996,0.028803437221936255,10,-0.06016888904658167,0.06929456958072687,0.1558736164557304,0.23181512401646526,-0.1342117660358795,-0.0924377113795346,-0.5018234470117148,0.012377189394567188,0.27325894639425446,0.24425294149306281,-0.23514343445975044,0.22845990037556083
